No.,Title,Artist,Tempo
34,"""MotorSport""","Migos, Nicki Minaj and Cardi B",NOT FOUND
35,"""I Like Me Better""",Lauv,    92  BPM 
36,"""Youngblood""",5 Seconds of Summer,    120  BPM 
37,"""Whatever It Takes""",Imagine Dragons,    135  BPM 
38,"""Ric Flair Drip""",Offset and Metro Boomin,NOT FOUND
39,"""I Fall Apart""",Post Malone,    144  BPM 
40,"""Pray for Me""",The Weeknd and Kendrick Lamar,    101  BPM 
41,"""Back to You""",Selena Gomez,    102  BPM 
42,"""Sicko Mode""",Travis Scott,    155  BPM 
43,"""Walk It Talk It""",Migos featuring Drake,    146  BPM 
44,"""Gucci Gang""",Lil Pump,    120  BPM 
45,"""Him & I""",G-Eazy and Halsey,    88  BPM 
46,"""In My Blood""",Shawn Mendes,    140  BPM 
47,"""All the Stars""",Kendrick Lamar and SZA,NOT FOUND
48,"""Stir Fry""",Migos,    182  BPM 
49,"""Too Good at Goodbyes""",Sam Smith,    92  BPM 
50,"""Love""",Kendrick Lamar featuring Zacari,    126  BPM 
51,"""This Is America""",Childish Gambino,    120  BPM 
52,"""Nonstop""",Drake,    155  BPM 
53,"""Heaven""",Kane Brown,    80  BPM 
54,"""Bodak Yellow""",Cardi B,    125  BPM 
55,"""Freaky Friday""",Lil Dicky featuring Chris Brown,NOT FOUND
56,"""Gummo""",6ix9ine,    157  BPM 
57,"""Plug Walk""",Rich the Kid,    95  BPM 
58,"""Wait""",Maroon 5,    126  BPM 
59,"""Be Careful""",Cardi B,    152  BPM 
60,"""Wolves""",Selena Gomez and Marshmello,    125  BPM 
61,"""Bartier Cardi""",Cardi B featuring 21 Savage,NOT FOUND
62,"""God Is a Woman""",Ariana Grande,    145  BPM 
63,"""Big Bank""","YG featuring 2 Chainz, Nicki Minaj and Big Sean",    204  BPM 
64,"""Sorry Not Sorry""",Demi Lovato,    144  BPM 
65,"""How Long""",Charlie Puth,    110  BPM 
66,"""Lights Down Low""",Max featuring Gnash,    81  BPM 
67,"""Young Dumb & Broke""",Khalid,    137  BPM 
68,"""One Kiss""",Calvin Harris and Dua Lipa,    124  BPM 
69,"""Natural""",Imagine Dragons,    98  BPM 
70,"""You Make It Easy""",Jason Aldean,    132  BPM 
71,"""Shape of You""",Ed Sheeran,    96  BPM 
72,"""I Get the Bag""",Gucci Mane featuring Migos,NOT FOUND
73,"""No Brainer""","DJ Khaled featuring Justin Bieber, Chance the Rapper and Quavo",    136  BPM 
74,"""Plain Jane""",ASAP Ferg featuring Nicki Minaj,NOT FOUND
75,"""Sky Walker""",Miguel featuring Travis Scott,    146  BPM 
76,"""Marry Me""",Thomas Rhett,    85  BPM 
77,"""Eastside""","Benny Blanco, Halsey and Khalid",NOT FOUND
78,"""Call Out My Name""",The Weeknd,    134  BPM 
79,"""King's Dead""","Jay Rock, Kendrick Lamar, Future and James Blake",NOT FOUND
80,"""Happier""",Marshmello and Bastille,    100  BPM 
81,"""Te Boté""","Nio García, Darell and Casper Mágico featuring Bad Bunny, Nicky Jam and 
Ozuna",NOT FOUND
82,"""Simple""",Florida Georgia Line,    200  BPM 
83,"""Lemon""",N.E.R.D and Rihanna,    95  BPM 
84,"""1-800-273-8255""",Logic featuring Alessia Cara and Khalid,NOT FOUND
85,"""Say Something""",Justin Timberlake featuring Chris Stapleton,    97  BPM 
86,"""I'm Upset""",Drake,    150  BPM 
87,"""Get Along""",Kenny Chesney,    92  BPM 
88,"""Moonlight""",XXXTentacion,    128  BPM 
89,"""What Lovers Do""",Maroon 5 featuring SZA,    110  BPM 
90,"""X""",Nicky Jam and J Balvin,    180  BPM 
91,"""Outside Today""",YoungBoy Never Broke Again,    134  BPM 
92,"""Trip""",Ella Mai,    81  BPM 
93,"""Dura""",Daddy Yankee,    95  BPM 
94,"""Changes""",XXXTentacion,    65  BPM 
95,"""Mercy""",Brett Young,    72  BPM 
96,"""One Number Away""",Luke Combs,    144  BPM 
97,"""Powerglide""",Rae Sremmurd featuring Juicy J,NOT FOUND
98,"""IDGAF""",Dua Lipa,    97  BPM 
99,"""Mi Gente""",J Balvin and Willy William featuring Beyoncé,    105  BPM 
100,"""Believer""",Imagine Dragons,    125  BPM 
