No.,Title,Artist,Tempo
38,"""Don't Wanna Know""",Maroon 5 featuring Kendrick Lamar,    100  BPM 
39,"""Look What You Made Me Do""",Taylor Swift,    128  BPM 
40,"""Castle on the Hill""",Ed Sheeran,    135  BPM 
41,"""Bad Things""",Machine Gun Kelly and Camila Cabello,    138  BPM 
42,"""Paris""",The Chainsmokers,    100  BPM 
43,"""Side to Side""",Ariana Grande featuring Nicki Minaj,    159  BPM 
44,"""Rockabye""",Clean Bandit featuring Sean Paul and Anne-Marie,    101  BPM 
45,"""Feel It Still""",Portugal. The Man,NOT FOUND
46,"""Let Me Love You""",DJ Snake featuring Justin Bieber,    100  BPM 
47,"""Sorry Not Sorry""",Demi Lovato,    144  BPM 
48,"""Bank Account""",21 Savage,    75  BPM 
49,"""Can't Stop the Feeling!""",Justin Timberlake,NOT FOUND
50,"""Mi Gente""",J Balvin and Willy William featuring Beyoncé,    105  BPM 
51,"""Thunder""",Imagine Dragons,    168  BPM 
52,"""T-shirt""",Migos,    139  BPM 
53,"""Rake It Up""",Yo Gotti featuring Nicki Minaj,    150  BPM 
54,"""Mercy""",Shawn Mendes,    148  BPM 
55,"""Tunnel Vision""",Kodak Black,    172  BPM 
56,"""Rockstar""",Post Malone featuring 21 Savage,    160  BPM 
57,"""In Case You Didn't Know""",Brett Young,    148  BPM 
58,"""Heathens""",Twenty One Pilots,    90  BPM 
59,"""Now or Never""",Halsey,    110  BPM 
60,"""Caroline""",Aminé,    120  BPM 
61,"""Rolex""",Ayo & Teo,    145  BPM 
62,"""DNA""",Kendrick Lamar,    140  BPM 
63,"""Juju on That Beat (TZ Anthem)""",Zay Hilfigerrr & Zayion McCall,NOT FOUND
64,"""Swang""",Rae Sremmurd,    140  BPM 
65,"""Passionfruit""",Drake,    112  BPM 
66,"""Loyalty""",Kendrick Lamar featuring Rihanna,    111  BPM 
67,"""Praying""",Kesha,    73  BPM 
68,"""Goosebumps""",Travis Scott,    130  BPM 
69,"""Cold""",Maroon 5 featuring Future,    100  BPM 
70,"""Broccoli""",DRAM featuring Lil Yachty,    146  BPM 
71,"""Slide""",Calvin Harris featuring Frank Ocean and Migos,    104  BPM 
72,"""What Ifs""",Kane Brown featuring Lauren Alaina,    126  BPM 
73,"""Chained to the Rhythm""",Katy Perry featuring Skip Marley,    95  BPM 
74,"""Feels""","Calvin Harris featuring Pharrell Williams, Katy Perry and Big Sean",    101  BPM 
75,"""All Time Low""",Jon Bellion,    90  BPM 
76,"""Hurricane""",Luke Combs,    76  BPM 
77,"""Too Good at Goodbyes""",Sam Smith,    92  BPM 
78,"""Young Dumb & Broke""",Khalid,    137  BPM 
79,"""Magnolia""",Playboi Carti,    163  BPM 
80,"""Love Galore""",SZA featuring Travis Scott,    135  BPM 
81,"""Drowning""",A Boogie wit da Hoodie featuring Kodak Black,NOT FOUND
82,"""Starving""",Hailee Steinfeld and Grey featuring Zedd,    100  BPM 
83,"""Both""",Gucci Mane featuring Drake,NOT FOUND
84,"""What About Us""",P!nk,    114  BPM 
85,"""Swalla""",Jason Derulo featuring Nicki Minaj and Ty Dolla Sign,    98  BPM 
86,"""Slippery""",Migos featuring Gucci Mane,NOT FOUND
87,"""Sign of the Times""",Harry Styles,    120  BPM 
88,"""Water Under the Bridge""",Adele,    95  BPM 
89,"""Malibu""",Miley Cyrus,    140  BPM 
90,"""Down""",Marian Hill,    115  BPM 
91,"""No Promises""",Cheat Codes featuring Demi Lovato,NOT FOUND
92,"""Treat You Better""",Shawn Mendes,    83  BPM 
93,"""I Get the Bag""",Gucci Mane featuring Migos,NOT FOUND
94,"""Small Town Boy""",Dustin Lynch,    73  BPM 
95,"""Everyday We Lit""",YFN Lucci featuring PnB Rock,NOT FOUND
96,"""Havana""",Camila Cabello featuring Young Thug,    105  BPM 
97,"""What Lovers Do""",Maroon 5 featuring SZA,    110  BPM 
98,"""Do Re Mi""",Blackbear,    111  BPM 
99,"""Look at Me!""",XXXTentacion,    139  BPM 
100,"""The Fighter""",Keith Urban featuring Carrie Underwood,    132  BPM 
