No.,Title,Artist,Top_Tags
43,"""Side to Side""",Ariana Grande featuring Nicki Minaj,"pop, rnb, female vocalists"
44,"""Rockabye""",Clean Bandit featuring Sean Paul and Anne-Marie,"electronic, indie, experimental"
45,"""Feel It Still""",Portugal. The Man,"experimental, indie, seen live"
46,"""Let Me Love You""",DJ Snake featuring Justin Bieber,"electronic, trap, dance"
47,"""Sorry Not Sorry""",Demi Lovato,"pop, pop rock, female vocalists"
48,"""Bank Account""",21 Savage,"trap, Hip-Hop, rap"
49,"""Can't Stop the Feeling!""",Justin Timberlake,"pop, rnb, dance"
50,"""Mi Gente""",J Balvin and Willy William featuring Beyoncé,Unknown
51,"""Thunder""",Imagine Dragons,"indie, indie rock, alternative"
52,"""T-shirt""",Migos,"Hip-Hop, trap, rap"
53,"""Rake It Up""",Yo Gotti featuring Nicki Minaj,"rap, Dirty South, Hip-Hop"
54,"""Mercy""",Shawn Mendes,"pop, Canadian, seen live"
55,"""Tunnel Vision""",Kodak Black,"trap, Hip-Hop, rap"
56,"""Rockstar""",Post Malone featuring 21 Savage,"Hip-Hop, rap, trap"
57,"""In Case You Didn't Know""",Brett Young,"country, USA, american"
58,"""Heathens""",Twenty One Pilots,"electronic, alternative, indie pop"
59,"""Now or Never""",Halsey,"pop, indie pop, indie"
60,"""Caroline""",Aminé,"rap, Hip-Hop, hip hop"
61,"""Rolex""",Ayo & Teo,"soul, female vocalists, blues"
62,"""DNA""",Kendrick Lamar,"Hip-Hop, rap, seen live"
63,"""Juju on That Beat (TZ Anthem)""",Zay Hilfigerrr & Zayion McCall,"american, detroit, United States"
64,"""Swang""",Rae Sremmurd,"Hip-Hop, rap, hip hop"
65,"""Passionfruit""",Drake,"Hip-Hop, rap, rnb"
66,"""Loyalty""",Kendrick Lamar featuring Rihanna,"Hip-Hop, rap, seen live"
67,"""Praying""",Kesha,"pop, dance, electropop"
68,"""Goosebumps""",Travis Scott,"Hip-Hop, trap, rap"
69,"""Cold""",Maroon 5 featuring Future,"rock, pop, pop rock"
70,"""Broccoli""",DRAM featuring Lil Yachty,"rnb, trap, Hip-Hop"
71,"""Slide""",Calvin Harris featuring Frank Ocean and Migos,"electronic, dance, electro"
72,"""What Ifs""",Kane Brown featuring Lauren Alaina,"country, country pop, beer"
73,"""Chained to the Rhythm""",Katy Perry featuring Skip Marley,"pop, female vocalists, pop rock"
74,"""Feels""","Calvin Harris featuring Pharrell Williams, Katy Perry and Big Sean","electronic, dance, electro"
75,"""All Time Low""",Jon Bellion,"electronic, Hip-Hop, experimental"
76,"""Hurricane""",Luke Combs,"country, contemporary country, seen live"
77,"""Too Good at Goodbyes""",Sam Smith,"soul, pop, british"
78,"""Young Dumb & Broke""",Khalid,"rnb, pop, soul"
79,"""Magnolia""",Playboi Carti,"trap, Hip-Hop, rap"
80,"""Love Galore""",SZA featuring Travis Scott,"rnb, soul, electronic"
81,"""Drowning""",A Boogie wit da Hoodie featuring Kodak Black,"rap, Hip-Hop, hip hop"
82,"""Starving""",Hailee Steinfeld and Grey featuring Zedd,Unknown
83,"""Both""",Gucci Mane featuring Drake,"Hip-Hop, rap, trap"
84,"""What About Us""",P!nk,"pop, pop rock, female vocalists"
85,"""Swalla""",Jason Derulo featuring Nicki Minaj and Ty Dolla Sign,"rnb, pop, male vocalists"
86,"""Slippery""",Migos featuring Gucci Mane,"Hip-Hop, trap, rap"
87,"""Sign of the Times""",Harry Styles,"pop, seen live, rock"
88,"""Water Under the Bridge""",Adele,"soul, female vocalists, british"
89,"""Malibu""",Miley Cyrus,"pop, female vocalists, Disney"
90,"""Down""",Marian Hill,"electronic, pop, jazz"
91,"""No Promises""",Cheat Codes featuring Demi Lovato,"electronic, pop, tropical house"
92,"""Treat You Better""",Shawn Mendes,"pop, Canadian, seen live"
93,"""I Get the Bag""",Gucci Mane featuring Migos,"Hip-Hop, rap, trap"
94,"""Small Town Boy""",Dustin Lynch,"kid rock, Creed, nickelback"
95,"""Everyday We Lit""",YFN Lucci featuring PnB Rock,"rap, Hip-Hop, hip hop"
96,"""Havana""",Camila Cabello featuring Young Thug,"pop, female vocalists, cuba"
97,"""What Lovers Do""",Maroon 5 featuring SZA,"rock, pop, pop rock"
98,"""Do Re Mi""",Blackbear,"electronic, pop, rnb"
99,"""Look at Me!""",XXXTentacion,"rap, Hip-Hop, trap"
100,"""The Fighter""",Keith Urban featuring Carrie Underwood,"country, Keith Urban, singer-songwriter"
