No.,Title,Artist,Top_Tags
72,"""I Get the Bag""",Gucci Mane featuring Migos,"Hip-Hop, rap, trap"
73,"""No Brainer""","DJ Khaled featuring Justin Bieber, Chance the Rapper and Quavo","Hip-Hop, rap, hip hop"
74,"""Plain Jane""",ASAP Ferg featuring Nicki Minaj,"Hip-Hop, trap, rap"
75,"""Sky Walker""",Miguel featuring Travis Scott,"rnb, soul, r&b"
76,"""Marry Me""",Thomas Rhett,"country, male vocalists, contemporary country"
77,"""Eastside""","Benny Blanco, Halsey and Khalid","pop, electronic, hip hop"
78,"""Call Out My Name""",The Weeknd,"rnb, electronic, Canadian"
79,"""King's Dead""","Jay Rock, Kendrick Lamar, Future and James Blake","Hip-Hop, rap, Gangsta Rap"
80,"""Happier""",Marshmello and Bastille,Unknown
81,"""Te Boté""","Nio García, Darell and Casper Mágico featuring Bad Bunny, Nicky Jam and 
Ozuna",Puerto Rican
82,"""Simple""",Florida Georgia Line,"country, country rock, male vocalists"
83,"""Lemon""",N.E.R.D and Rihanna,Unknown
84,"""1-800-273-8255""",Logic featuring Alessia Cara and Khalid,"Hip-Hop, rap, hip hop"
85,"""Say Something""",Justin Timberlake featuring Chris Stapleton,"pop, rnb, dance"
86,"""I'm Upset""",Drake,"Hip-Hop, rap, rnb"
87,"""Get Along""",Kenny Chesney,"country, Kenny Chesney, modern country"
88,"""Moonlight""",XXXTentacion,"rap, Hip-Hop, trap"
89,"""What Lovers Do""",Maroon 5 featuring SZA,"rock, pop, pop rock"
90,"""X""",Nicky Jam and J Balvin,Unknown
91,"""Outside Today""",YoungBoy Never Broke Again,"rap, trap, Hip-Hop"
92,"""Trip""",Ella Mai,"rnb, soul, british"
93,"""Dura""",Daddy Yankee,"Reggaeton, latin, Hip-Hop"
94,"""Changes""",XXXTentacion,"rap, Hip-Hop, trap"
95,"""Mercy""",Brett Young,"country, USA, american"
96,"""One Number Away""",Luke Combs,"country, contemporary country, seen live"
97,"""Powerglide""",Rae Sremmurd featuring Juicy J,"Hip-Hop, rap, hip hop"
98,"""IDGAF""",Dua Lipa,"pop, seen live, electropop"
99,"""Mi Gente""",J Balvin and Willy William featuring Beyoncé,Unknown
100,"""Believer""",Imagine Dragons,"indie, indie rock, alternative"
