Title,Artist,Main_Harmony,Main_Interval_Harmony
"""Lights Down Low""",Max featuring Gnash,"(6, 5, 2, 1)","(2, -9, 2, 5)"
"""Young Dumb & Broke""",Khalid,"(1, 1, 6, 5)","(0, 3, 2, -5)"
"""One Kiss""",Calvin Harris and Dua Lipa,"(0, 6, 6, 0, 1)","(0, -5, 1, -1, 5)"
"""Natural""",Imagine Dragons,"(1, 5)","(-7, 7)"
"""You Make It Easy""",Jason Aldean,"(1, 5, 6, 4)","(5, -2, 4, -7)"
"""Shape of You""",Ed Sheeran,"(1, 4, 6, 7)","(-5, -3, -2, 10)"
"""I Get the Bag""",Gucci Mane featuring Migos,not found,not found
"""No Brainer""","DJ Khaled featuring Justin Bieber, Chance the Rapper and Quavo",not found,not found
"""Plain Jane""",ASAP Ferg featuring Nicki Minaj,not found,not found
"""Sky Walker""",Miguel featuring Travis Scott,"(1, 3)","(9, -9)"
"""Marry Me""",Thomas Rhett,"(5, 3, 2, 1)","(2, 5, -9, 2)"
"""Eastside""","Benny Blanco, Halsey and Khalid","(7, 3, 6, 7, 1)","(-2, -2, 2, -5, 7)"
"""Call Out My Name""",The Weeknd,not found,not found
"""King's Dead""","Jay Rock, Kendrick Lamar, Future and James Blake",not found,not found
"""Happier""",Marshmello and Bastille,"(6, 1, 3)","(-5, -4, 9)"
"""Te Boté""","Nio García, Darell and Casper Mágico featuring Bad Bunny, Nicky Jam and 
Ozuna",not found,not found
"""Simple""",Florida Georgia Line,"(3, 6)","(-5, 5)"
"""Lemon""",N.E.R.D and Rihanna,not found,not found
"""1-800-273-8255""",Logic featuring Alessia Cara and Khalid,"(1, 2, 3, 5)","(-2, -2, -3, 7)"
"""Say Something""",Justin Timberlake featuring Chris Stapleton,"(7, 4, 1, 3)","(-7, 5, -7, 9)"
"""I'm Upset""",Drake,"(1, 1, 1, 1)","(0, 0, 0, 0)"
"""Get Along""",Kenny Chesney,"(1, 1, 1, 4)","(0, 0, 7, -7)"
"""Moonlight""",XXXTentacion,"(1, 7, 3)","(1, -5, 4)"
"""What Lovers Do""",Maroon 5 featuring SZA,"(2, 4)","(9, -9)"
"""X""",Nicky Jam and J Balvin,not found,not found
"""Outside Today""",YoungBoy Never Broke Again,not found,not found
"""Trip""",Ella Mai,"(1, 2, 5, 1)","(7, 0, -2, -5)"
"""Dura""",Daddy Yankee,"(1, 6, 4, 5)","(-9, 4, -2, 7)"
"""Changes""",XXXTentacion,"(1, 6, 3)","(3, -7, 4)"
"""Mercy""",Brett Young,"(5, 6, 4, 1)","(-2, 4, 5, -7)"
"""One Number Away""",Luke Combs,"(1, 4)","(-5, 5, -5, 5)"
"""Powerglide""",Rae Sremmurd featuring Juicy J,"(1, 1, 3, 3)","(0, 9, 0, -9)"
"""IDGAF""",Dua Lipa,"(1, 7, 3, 6, 1, 7, 5, 6)","(2, -5, 7, -4, 2, -9, 11, -4)"
"""Mi Gente""",J Balvin and Willy William featuring Beyoncé,not found,not found
"""Believer""",Imagine Dragons,"(6, 5, 1)","(4, 1, -5)"
