Title,Artist,Main_Harmony,Main_Interval_Harmony
"""Cold""",Maroon 5 featuring Future,"(1, 2, 3, 7)","(-2, -2, 5, -1)"
"""Broccoli""",DRAM featuring Lil Yachty,"(1, 7, 4, 5, 1, 1)","(2, 5, -2, -5)"
"""Slide""",Calvin Harris featuring Frank Ocean and Migos,"(7, 3, 1)","(-5, 4, 1)"
"""What Ifs""",Kane Brown featuring Lauren Alaina,"(7, 1, 3)","(5, -2, -3)"
"""Chained to the Rhythm""",Katy Perry featuring Skip Marley,not found,not found
"""Feels""","Calvin Harris featuring Pharrell Williams, Katy Perry and Big Sean",not found,not found
"""All Time Low""",Jon Bellion,"(1, 2, 3, 5, 7)","(-2, -2, 9, -4, -1)"
"""Hurricane""",Luke Combs,"(6, 3, 7, 1)","(-7, 5, -2, 4)"
"""Too Good at Goodbyes""",Sam Smith,"(1, 3, 7, 4)","(-7, 5, -7, 9)"
"""Young Dumb & Broke""",Khalid,"(1, 1, 6, 5)","(0, 3, 2, -5)"
"""Magnolia""",Playboi Carti,"(1, 6)","(4, -4)"
"""Love Galore""",SZA featuring Travis Scott,"(2, 3, 1)","(-2, 11, -9)"
"""Drowning""",A Boogie wit da Hoodie featuring Kodak Black,"(1, 6, 4, 5)","(4, 3, -2, -5)"
"""Starving""",Hailee Steinfeld and Grey featuring Zedd,"(1, 2, 6, 5)","(-10, 7, -2, 5)"
"""Both""",Gucci Mane featuring Drake,"(1, 5)","(5, -5)"
"""What About Us""",P!nk,not found,not found
"""Swalla""",Jason Derulo featuring Nicki Minaj and Ty Dolla Sign,not found,not found
"""Slippery""",Migos featuring Gucci Mane,"(1, 4, 5)","(-5, -2, 7)"
"""Sign of the Times""",Harry Styles,"(5, 1, 6, 5)","(2, 0, -5, 3)"
"""Water Under the Bridge""",Adele,"(6, 3, 2, 5, 1)","(-7, 2, 7, -5, 3)"
"""Malibu""",Miley Cyrus,"(1, 1, 1, 1)","(0, 0, 0, 0)"
"""Down""",Marian Hill,"(1, 7, 6, 5)","(-10, 2, 1, 7)"
"""No Promises""",Cheat Codes featuring Demi Lovato,"(1, 6, 3, 5)","(3, 5, -3, -5)"
"""Treat You Better""",Shawn Mendes,"(7, 6, 1)","(2, 2, -4)"
"""I Get the Bag""",Gucci Mane featuring Migos,not found,not found
"""Small Town Boy""",Dustin Lynch,"(1, 5, 3, 2)","(2, 2, -7, 3)"
"""Everyday We Lit""",YFN Lucci featuring PnB Rock,"(1, 6, 4, 3)","(4, 3, 2, -9)"
"""Havana""",Camila Cabello featuring Young Thug,"(1, 6, 5)","(4, -11, 7)"
"""What Lovers Do""",Maroon 5 featuring SZA,"(2, 4)","(9, -9)"
"""Do Re Mi""",Blackbear,"(7, 4, 6, 7, 1)","(-2, -2, 2, 5, -3)"
"""Look at Me!""",XXXTentacion,"(1, 1, 5, 2)","(0, 5, -7, 2)"
"""The Fighter""",Keith Urban featuring Carrie Underwood,"(1, 2, 7, 3)","(3, -5, 4, -2)"
